epsilon          error
0.776799609716   0.0328654180776
0.603417633655   0.0265406891669
0.468734582318   0.0217506391751
0.364112840605   0.0160817142014
0.282842712475   0.0156162047959
0.219712108661   0.013496118064
0.170672280258   0.161809583177
0.132578160694   0.546914279523
0.102986663484   1.40035024508
0.08             2.98304096827
0.0621439687773  5.63486914551
0.0482734106924  9.98645700155
0.0374987665855  17.0807983508
0.0291290272484  28.9424123496
0.022627416998   48.5625435469
0.0175769686929  80.9760587023
0.0136537824206  134.416863219
0.0106062528555  222.234091232
