dt	epsilon	Nx	Ny	L_infinity_error	L1_error	L2_error	Linfinity_error_X	Linfinity_error_D
0.1	0.08	25.0	25.0	0.0448351355625	0.0168795340405	0.0268477546722	0.240164314348	0.240164314348
0.075	0.08	25.0	25.0	0.0387791196926	0.0113523324925	0.0210324575228	0.204729271233	0.204729271233
0.05	0.08	25.0	25.0	0.0388928733074	0.00976773299082	0.0212574141922	0.159103584746	0.159103584746
0.025	0.08	25.0	25.0	0.0391778669617	0.00807872286732	0.0225047766349	0.0985747640302	0.0963979963902
0.01	0.08	25.0	25.0	0.0388646067954	0.00759743313809	0.0236628063139	0.0454545454545	0.0445572077956
0.0075	0.08	25.0	25.0	0.0391923011189	0.00756501961737	0.0238675826545	0.0348837209302	0.0343371145993
0.005	0.08	25.0	25.0	0.0391284274004	0.00754620201568	0.0240802751395	6.00070836042e-06	0.0235459103237
0.0025	0.08	25.0	25.0	0.0391795065967	0.00753678290598	0.0243069752758	8.1855182262e-07	0.000148190057698
0.001	0.08	25.0	25.0	0.0388512165246	0.00753355068074	0.0244459529005	5.52622355284e-08	2.44689605818e-05
0.00075	0.08	25.0	25.0	0.0387327869718	0.00753162869244	0.0244696844116	2.35241038454e-08	1.38373629753e-05
0.0005	0.08	25.0	25.0	0.0389016527447	0.00753112235615	0.0244981391693	7.03315264824e-09	6.18296224919e-06
0.00025	0.08	25.0	25.0	0.039076228739	0.00753290620734	0.0245262570232	8.87116653285e-10	1.55407857205e-06
0.0001	0.08	25.0	25.0	0.039039574743	0.00753392353741	0.0245443384352	5.7084545424e-11	2.4945941457e-07
7.5e-05	0.08	25.0	25.0	0.0389222036559	0.00753410394268	0.0245477189089	2.41043296434e-11	1.40396826831e-07
5e-05	0.08	25.0	25.0	0.0389271273971	0.00753423365607	0.0245509934634	7.14844849981e-12	6.24323595044e-08
2.5e-05	0.08	25.0	25.0	0.0388046020223	0.00753435032618	0.0245541536743	8.94423424214e-13	1.56165407272e-08
1e-05	0.08	25.0	25.0	0.0387443922532	0.00753443778685	0.0245561440802	5.72458747072e-14	2.49945830699e-09
